Publication,First Name,Last Name,Constituency,Caucus,Province,Date,Time,Page,Text,,,,,,,,,,,
Hansard - 340,Carol,Hughes,Algoma-Manitoulin-Kapuskasing,NDP,ON,2024-09-20,10:03:57,25647,The Assistant Deputy Speaker (Mrs. Carol Hughes): (1000)[English] There are 127 motions in amendment standing on the Notice Paper for the report stage of Bill C-33. Motions Nos. 1 to 127 will be grouped for debate and voted upon according to the voting pattern available at the table.[Translation]I will now put Motions Nos. 1 to 127 to the House.,,,,,,,,,,,
Hansard - 340,Philip,Lawrence,Northumberland-Peterborough South,CPC,ON,2024-09-20,10:03:58,25647,"Mr. Philip Lawrence (Northumberland-Peterborough South, CPC)(1000)[English]Motions Nos. 1 to 120moved:Motion No. 1That Bill C-33 be amended by deleting the short title.Motion No. 2That Bill C-33 be amended by deleting Clause 2.Motion No. 3That Bill C-33 be amended by deleting Clause 3.Motion No. 4That Bill C-33 be amended by deleting Clause 4.Motion No. 5That Bill C-33 be amended by deleting Clause 5.Motion No. 6That Bill C-33 be amended by deleting Clause 6.Motion No. 7That Bill C-33 be amended by deleting Clause 7.Motion No. 8That Bill C-33 be amended by deleting Clause 8.Motion No. 9That Bill C-33 be amended by deleting Clause 9.Motion No. 10That Bill C-33 be amended by deleting Clause 10.Motion No. 11That Bill C-33 be amended by deleting Clause 11.Motion No. 12That Bill C-33 be amended by deleting Clause 12.Motion No. 13That Bill C-33 be amended by deleting Clause 13.Motion No. 14That Bill C-33 be amended by deleting Clause 14.Motion No. 15That Bill C-33 be amended by deleting Clause 15.Motion No. 16That Bill C-33 be amended by deleting Clause 16.Motion No. 17That Bill C-33 be amended by deleting Clause 17.Motion No. 18That Bill C-33 be amended by deleting Clause 18.Motion No. 19That Bill C-33 be amended by deleting Clause 19.Motion No. 20That Bill C-33 be amended by deleting Clause 20.Motion No. 21That Bill C-33 be amended by deleting Clause 21.Motion No. 22That Bill C-33 be amended by deleting Clause 22.Motion No. 23That Bill C-33 be amended by deleting Clause 23.Motion No. 24That Bill C-33 be amended by deleting Clause 24.Motion No. 25That Bill C-33 be amended by deleting Clause 25.Motion No. 26That Bill C-33 be amended by deleting Clause 26.Motion No. 27That Bill C-33 be amended by deleting Clause 27.Motion No. 28That Bill C-33 be amended by deleting Clause 28.Motion No. 29That Bill C-33 be amended by deleting Clause 29.Motion No. 30That Bill C-33 be amended by deleting Clause 30.Motion No. 31That Bill C-33 be amended by deleting Clause 31.Motion No. 32That Bill C-33 be amended by deleting Clause 32.Motion No. 33That Bill C-33 be amended by deleting Clause 33.Motion No. 34That Bill C-33 be amended by deleting Clause 34.Motion No. 35That Bill C-33 be amended by deleting Clause 35.Motion No. 36That Bill C-33 be amended by deleting Clause 36.Motion No. 37That Bill C-33 be amended by deleting Clause 37.Motion No. 38That Bill C-33 be amended by deleting Clause 38.Motion No. 39That Bill C-33 be amended by deleting Clause 39.Motion No. 40That Bill C-33 be amended by deleting Clause 40.Motion No. 41That Bill C-33 be amended by deleting Clause 41.Motion No. 42That Bill C-33 be amended by deleting Clause 42.Motion No. 43That Bill C-33 be amended by deleting Clause 43.Motion No. 44That Bill C-33 be amended by deleting Clause 44.Motion No. 45That Bill C-33 be amended by deleting Clause 45.Motion No. 46That Bill C-33 be amended by deleting Clause 46.Motion No. 47That Bill C-33 be amended by deleting Clause 47.Motion No. 48That Bill C-33 be amended by deleting Clause 48.Motion No. 49That Bill C-33 be amended by deleting Clause 49.Motion No. 50That Bill C-33 be amended by deleting Clause 50.Motion No. 51That Bill C-33 be amended by deleting Clause 51.Motion No. 52That Bill C-33 be amended by deleting Clause 52.Motion No. 53That Bill C-33 be amended by deleting Clause 53.Motion No. 54That Bill C-33 be amended by deleting Clause 54.Motion No. 55That Bill C-33 be amended by deleting Clause 55.Motion No. 56That Bill C-33 be amended by deleting Clause 56.Motion No. 57That Bill C-33 be amended by deleting Clause 57.Motion No. 58That Bill C-33 be amended by deleting Clause 58.Motion No. 59That Bill C-33 be amended by deleting Clause 59.Motion No. 60That Bill C-33 be amended by deleting Clause 60.Motion No. 61That Bill C-33 be amended by deleting Clause 61.Motion No. 62That Bill C-33 be amended by deleting Clause 62.Motion No. 63That Bill C-33 be amended by deleting Clause 63.Motion No. 64That Bill C-33 be amended by deleting Clause 64.Motion No. 65That Bill C-33 be amended by deleting Clause 65.Motion No. 66That Bill C-33 be amended by deleting Clause 66.Motion No. 67That Bill C-33 be amended by deleting Clause 67.Motion No. 68That Bill C-33 be amended by deleting Clause 68.Motion No. 69That Bill C-33 be amended by deleting Clause 69.Motion No. 70That Bill C-33 be amended by deleting Clause 70.Motion No. 71That Bill C-33 be amended by deleting Clause 71.Motion No. 72That Bill C-33 be amended by deleting Clause 72.Motion No. 73That Bill C-33 be amended by deleting Clause 73.Motion No. 74That Bill C-33 be amended by deleting Clause 74.Motion No. 75That Bill C-33 be amended by deleting Clause 75.Motion No. 76That Bill C-33 be amended by deleting Clause 76.Motion No. 77That Bill C-33 be amended by deleting Clause 77.Motion No. 78That Bill C-33 be amended by deleting Clause 78.Motion No. 79That Bill C-33 be amended by deleting Clause 79.Motion No. 80That Bill C-33 be amended by deleting Clause 80.Motion No. 81That Bill C-33 be amended by deleting Clause 81.Motion No. 82That Bill C-33 be amended by deleting Clause 82.Motion No. 83That Bill C-33 be amended by deleting Clause 83.Motion No. 84That Bill C-33 be amended by deleting Clause 84.Motion No. 85That Bill C-33 be amended by deleting Clause 85.Motion No. 86That Bill C-33 be amended by deleting Clause 86.Motion No. 87That Bill C-33 be amended by deleting Clause 87.Motion No. 88That Bill C-33 be amended by deleting Clause 88.Motion No. 89That Bill C-33 be amended by deleting Clause 89.Motion No. 90That Bill C-33 be amended by deleting Clause 90.Motion No. 91That Bill C-33 be amended by deleting Clause 91.Motion No. 92That Bill C-33 be amended by deleting Clause 92.Motion No. 93That Bill C-33 be amended by deleting Clause 93.Motion No. 94That Bill C-33 be amended by deleting Clause 94.Motion No. 95That Bill C-33 be amended by deleting Clause 95.Motion No. 96That Bill C-33 be amended by deleting Clause 96.Motion No. 97That Bill C-33 be amended by deleting Clause 97.Motion No. 98That Bill C-33 be amended by deleting Clause 98.Motion No. 99That Bill C-33 be amended by deleting Clause 99.Motion No. 100That Bill C-33 be amended by deleting Clause 100.Motion No. 101That Bill C-33 be amended by deleting Clause 101.Motion No. 102That Bill C-33 be amended by deleting Clause 102.Motion No. 103That Bill C-33 be amended by deleting Clause 103.Motion No. 104That Bill C-33 be amended by deleting Clause 104.Motion No. 105That Bill C-33 be amended by deleting Clause 105.Motion No. 106That Bill C-33 be amended by deleting Clause 106.Motion No. 107That Bill C-33 be amended by deleting Clause 107.Motion No. 108That Bill C-33 be amended by deleting Clause 108.Motion No. 109That Bill C-33 be amended by deleting Clause 109.Motion No. 110That Bill C-33 be amended by deleting Clause 110.Motion No. 111That Bill C-33 be amended by deleting Clause 111.Motion No. 112That Bill C-33 be amended by deleting Clause 112.Motion No. 113That Bill C-33 be amended by deleting Clause 113.Motion No. 114That Bill C-33 be amended by deleting Clause 114.Motion No. 115That Bill C-33 be amended by deleting Clause 115.Motion No. 116That Bill C-33 be amended by deleting Clause 116.Motion No. 117That Bill C-33 be amended by deleting Clause 117.Motion No. 118That Bill C-33 be amended by deleting Clause 118.Motion No. 119That Bill C-33 be amended by deleting Clause 119.Motion No. 120That Bill C-33 be amended by deleting Clause 120.",,,,,,,,,,,
Hansard - 340,Elizabeth,May,Saanich-Gulf Islands,GP,BC,2024-09-20,10:23:38,25649,"Ms. Elizabeth May (Saanich-Gulf Islands, GP)(1020)[English], seconded by the member for Richmond-Arthabaska, moved:Motion No. 121That Bill C-33, in Clause 120, be amended(a) by replacing lines 24 and 25 on page 80 with the following: (1. 1) Regulations made under paragraph (1)(a) must provide for the prohibition of the loading and unloading of b) by replacing line 6 on page 81 with the following: December 31, 2025. (c) by deleting lines 7 to 14 on page 81.",,,,,,,,,,,
Hansard - 340,Richard,Cannings,South Okanagan-West Kootenay,NDP,BC,2024-09-20,10:23:38,25649,"Mr. Richard Cannings (South Okanagan-West Kootenay, NDP)(1020)[English] moved:Motion No. 122That Bill C-33, in Clause 120, be amended(a) by replacing lines 24 and 25 on page 80 with the following: (1. 1) Regulations made under paragraph (1)(a) must provide for the prohibition of the loading and unloading of (b) by replacing, in the English version, line 27 on page 80 with the following: (1. 2) In making regulations referred to in subsection (1. 1), the (c) by replacing line 3 on page 81 with the following: (1. 3) Regulations referred to in subsection (1. 1) must pro  (d) by deleting lines 7 to 14 on page 81.",,,,,,,,,,,
Hansard - 340,Philip,Lawrence,Northumberland-Peterborough South,CPC,ON,2024-09-20,10:23:38,25649,"Mr. Philip Lawrence (Northumberland-Peterborough South, CPC)(1020)[English] moved:Motions Nos. 123 to 127Motion No. 123That Bill C-33 be amended by deleting Clause 121.Motion No. 124That Bill C-33 be amended by deleting Clause 122.Motion No. 125That Bill C-33 be amended by deleting Clause 123.Motion No. 126That Bill C-33 be amended by deleting Clause 124.Motion No. 127That Bill C-33 be amended by deleting Clause 125.",,,,,,,,,,,
Hansard - 340,Philip,Lawrence,Northumberland-Peterborough South,CPC,ON,2024-09-20,10:23:38,,"Mr. Philip Lawrence (Northumberland-Peterborough South, CPC)(1020)[English] He said: Madam Speaker, it is an honour to rise and to have numerous amendments in my name. I am proud to be working hard on behalf of the people of Northumberland-Peterborough South.As some may know, I am the newly minted shadow minister for transportation for our side. I was on the finance committee, and we spent a lot of our time studying the economy. I even did so in my career before that. I just want to put things in context in terms of where the Canadian economy currently is. I will relate that back to transportation and to the bill; I hope we will have an understanding of why Conservatives, and really all right-thinking folks, cannot support the legislation in good conscience.Let us wind back the clock to April 30, 2014. The New York Times put out the article  Life in Canada, Home of the World's Most Affluent Middle Class . Does that not seem long ago? It was when Canadians could afford housing, when there were available and affordable rents, when food was at a reasonable cost, when the dream of Canada seemed as alive as ever and when the promise of Canada was shining perhaps brighter than ever in Canada's history.We then heard from a Liberal candidate at the time who said that better was always possible. That is true, but we found out that, in this case, better was certainly not the result. We have seen this both empirically and subjectively. We have seen that GDP per capita, which is perhaps the best measure of the standard of living for Canadians, has flatlined. Over the last decade, the standard of living, or the GDP per capita, has seen zero growth.We will hear from members of the opposition who say that this is because we are stuck in a bad world economy. We have had the pandemic and other events; there is no way we could have possibly done better. However, that is just simply not true. We can compare those numbers to other benchmarks. One easy benchmark for us is that of the United States of America, which is geographically quite close and shares many things in common with Canada.During that same time, in the United States, the GDP per capita grew by nearly 19%. The GDP per capita is, in many ways, a substitute or an equivalent measure of our standard of living. We know, in contrasting and comparing it to peer nations, that Canada has done exceedingly poorly and that we are on a trajectory that leads us down a very dark path.Let us also compare the case historically. Perhaps there have been other times when we have had these challenges and emerged on the other side brighter. Maybe we were paying this price for a reason. Unfortunately, the damning truth is that our GDP per capita has not grown this little since the Great Depression. We had decades and decades of going through tumultuous world events and recessions. We have never seen a standard of living flatline or, in real terms, decline as we have under the Liberal government.We have talked about where the Canadian economy, over the last nine years, ranks in history. We have benchmarked it now with the United States of America. Let us look at them both. Back in 1984, the Canadian economy was producing 88% of the value generated by a U.S. worker per hour. By 2022, that collapsed to 71%. It is actually quite well known why this is. The problem has been diagnosed by many, including the deputy of the Bank of Canada, Carolyn Rogers. She said that we are in a productivity crisis and that this is a  break glass  moment for the Canadian economy.(1025) That is after nine years of a complete lack of care for productivity, which not only underlines our GDP per capita but also, more importantly, powers our economy and our standard of living. We have professionals, non-partisan and arguably non-biased economists, saying from coast to coast that the Liberal government has led us to this productivity decline and, therefore, the flatlining of the standard of living. Of course, those who are wealthy have not done too poorly, but those in the middle class have suffered. I see it in my riding every day. We see individuals who used to donate to food banks and are now clients of food banks. Two million Canadians are going to food banks every day. One key factor of any economy, something that has provided a real lift throughout history, is transportation. In fact, there is perhaps no better example than Canada and the construction of our railway. Transportation can power and transform an economy. It can take an economy from one that is lagging to one that is succeeding. What is the record, after nine years, of the Liberal government? We have seen inaction and incompetence, probably in equal parts. What happens is that, in an economy, there are factories and people producing things. However, that matters very little if we cannot get those products and services to market. Unfortunately, that continues to be a tremendous challenge here in Canada. We see almost constant work stoppages because of the Liberal government's failure to effectively manage ports, airports and other transport sectors. We see its inability to get major projects built to get our valuable resources to market. As if it were not enough to have legislation that has acted to prevent growth and kneecap our own economy, such as the no-pipeline bills and other legislation, we have now decided to bring in legislation that promotes bureaucracy over productivity. Over the last hundred years, if we have any doubt, we have seen the impact of bureaucracy on productivity. We have an absolute slam dunk case. I have no doubt that, in 20 or 50 years' time there will be people studying this decade. They will look at this in history and say that we had a country with an amazing economy. The New York Times said that we were the most affluent middle class in the world, but in just 10 short years, we saw a government actively work against its own people to develop our economy and increase productivity. Let us talk a bit about Bill C-33 specifically. I am always a big fan of listening to experts, as opposed to politicians. Thus, I want to read into the record some quotes from individuals, folks who are actually on the ground. These are the boots, not the suits, who are talking about it. The CEO of the Association of Canadian Port Authorities said:The concern for the smaller ports really was in the heavy reporting that's associated with the bill. It'll be a question mark on whether this will be a lot of new work that's required or if it's a repackaging of material that's already being provided.One of our larger ports actually said they'd have to hire [multiple] full-time people. This was going to cost them [hundreds of thousands of] dollars a year.This is one of a million productivity cuts that are slowing down our economy.I want to read one more thing here from the executive vice-president of the Trois-Rivières Port Authority. He states,  Bill C-33 and its extension, Bill C 52, restrict the Trois-Rivières Port Authority's ability to fulfill the mission entrusted to it by the Canada Marine Act. We see over and over again that the Liberal government is standing in the way of Canadians realizing their dreams and of the Canadian economy realizing its potential.",,,,,,,,,,,
Hansard - 340,Chandra,Arya,Nepean,Lib.,ON,2024-09-20,10:33:39,25651,"Mr. Chandra Arya (Nepean, Lib.): (1030)[English] Madam Speaker, I listened to my colleague's speech as he talked a bit about productivity. He also complained on behalf of the port authority, saying that it has to spend the money. Could the member explain to the House how we can improve productivity in Canada without businesses' actually making investments in the tools and technologies that are required to improve productivity?To improve productivity, we first have to focus on removing low-wage workers so businesses can either train the existing workforce to be more productive or invest in tools and technologies to improve productivity. Could the member explain how businesses can improve productivity without investing?",,,,,,,,,,,
Hansard - 340,Philip,Lawrence,Northumberland-Peterborough South,CPC,ON,2024-09-20,10:34:28,25651,"Mr. Philip Lawrence: (1030)[English]Madam Speaker, one of the reasons behind Canada's productivity is that Canada has been among the worst when it comes to developed countries' attracting capital.We absolutely need capital, but the only way we are going to get more capital and increase productivity is to have a carbon tax election.",,,,,,,,,,,
Hansard - 340,Christine,Normandin,Saint-Jean,BQ,QC,2024-09-20,10:34:50,25651,"Ms. Christine Normandin (Saint-Jean, BQ): (1030)[Translation]Madam Speaker, I would like my colleague to tell us about one of the proposed amendments, the one aimed at systematically appointing port authorities that represent workers to boards of directors.I would like to know where he stands on this specific amendment.",,,,,,,,,,,
Hansard - 340,Philip,Lawrence,Northumberland-Peterborough South,CPC,ON,2024-09-20,10:35:18,25651,"Mr. Philip Lawrence: (1035)[English] Madam Speaker, of course Conservatives will continue to stand up for workers. What I am troubled by, though, with the legislation is that it could lead to the loss of hundreds of good-paying union jobs. Common-sense Conservatives will stand up for union workers by growing the economy and making sure that the private sector and private unions expand.",,,,,,,,,,,
